FAIL MISSING | Old >=60% first launch [agemd]
OK   FOUND | New hysteresis >=40% [agemd]
FAIL MISSING | Old path docs/ResQMesh [agemd]
OK   FOUND | New path docs/ [agemd]
OK   FOUND | Quarantine > 3.0 [agemd]
OK   FOUND | SOS_YELLOW 30min [SRS]
FAIL MISSING | Old Quarantine >=3.0 [SAD]
OK   FOUND | New Quarantine >3.0 [SAD]
OK   FOUND | SOS_YELLOW 30min [API]
FAIL MISSING | is_blacklisted >3.0 [DB]
OK   FOUND | match_expires SOS_YELLOW [DB]
FAIL MISSING | Old Nearby Connections [UIQA]
OK   FOUND | New Wi-Fi/AWDL/BLE [UIQA]
FAIL MISSING | Old 高能騾子 [UIQA]
FAIL MISSING | New 騾子模式Android [UIQA]
OK   FOUND | New 高能模式iOS [UIQA]
FAIL MISSING | Quarantine >3.0 vote [UIQA]
